SUBDIVISION,YEAR,Jan-Feb,Mar-May,Jun-Sep,Oct-Dec,ANNUAL
KONKAN & GOA,2000,1.2,191.2,2841.2,99.7,3133.2
KONKAN & GOA,2001,5.6,62.4,2232.7,94.7,2395.4
KONKAN & GOA,2002,0,12.3,2446.4,78.6,2537.2
KONKAN & GOA,2003,1.2,13.2,2771.6,56.3,2842.3
KONKAN & GOA,2004,0,57.2,2885.5,43.1,2985.9
KONKAN & GOA,2005,1.4,15.6,3522.2,76.6,3615.7
KONKAN & GOA,2006,0,221.7,3035.6,224.9,3482.2
KONKAN & GOA,2007,0,36.9,3369.9,61.7,3468.5
KONKAN & GOA,2008,0.1,43,2949.3,60.6,3053.1
KONKAN & GOA,2009,0,5.9,2282.2,428.5,2716.6
KONKAN & GOA,2010,2.7,9.7,3467.4,298.3,3778.1
KONKAN & GOA,2011,0,4.5,3697.3,123.5,3825.2
KONKAN & GOA,2012,0,1.7,2839.3,177.4,3018.4
KONKAN & GOA,2013,7.3,18.7,3345.2,152.8,3524
KONKAN & GOA,2014,6.6,23.8,2608.8,118.4,2757.5
KONKAN & GOA,2015,2.7,51.7,1908.7,118.8,2082
